format,typ_2026,titel,beschreibung,slot_ref
keynote,Keynote,Vom Meme-Creator zum Director: Wie du aus kreativer Energie Verantwortung machst,"Marius Notter hat die Karriereleiter vom „wandelnden Social Media Klischee“ zur Direktorenebene erklommen. Vom Redakteur, der sich für Klicks Bälle ins Gesicht werfen ließ, über das Erfinden von „Alman Memes 2.0“ bis zum Director Creative Innovation bei fischerAppelt. Was als Frust über ignorierte Trends und starre Strukturen in klassischen Redaktionen begann, entwickelte sich zu einer der größten deutschen Meme-Seiten mit eigener Community, Spiegel-Bestsellern und großen Marken-Kooperationen.

Heute nutzt er diese Erfahrung um Marken zu zeigen, dass positive Reichweite vor allem durch eines entsteht: wirklich gemocht zu werden. 

In seinem Slot zeigt er, wie man den Blick für künftige Entwicklungen schärft und kreative Energie in eine strategische Rolle überführt

Das nimmst du mit: 

Vom Trend Gespür zum Business-Modell: Wie du Entwicklungen wie „Vertical-first“ oder TikTok-Trends nicht nur erkennst, sondern strategisch verkaufst.

Reichweite durch Sympathie: Warum echte Markenwirkung nur entsteht, wenn man wirklich gemocht wird, und wie organischer Content das schafft.

Vibe Shift als Strategie: Wie du dich tief in Communities hinein fühlst, um das Image von Marken emotional komplett zu drehen.

Warum „Out-of-the-box“-Denken individuelle Kundenprobleme nachhaltiger löst als reine Daten-Media.

Social Media als Spiel: Wie du Algorithmen als Mitspieler begreifst und Rückschläge als neue Perspektiven nutzt.",SL177
keynote,Keynote,Welcome to all Future Leaders!,"Hamburg heißt die nächste Generation willkommen: Senatorin für Wirtschaft, Arbeit und InnovationMelanie Leonhard eröffnet den Future Leader Summit 2026 und gibt den Startschuss für zwei Tage voller Inspiration, Innovation und Impact. Sie zeigt, warum Hamburg der richtige Ort ist, um Karriere zu machen, Ideen zu verwirklichen und Verantwortung zu übernehmen. Ein motivierender Auftakt für alle Future Leaders, die nicht nur die Zukunft träumen, sondern sie bauen wollen.",SL038
keynote,Keynote,What's Your Dream? - How to Turn Ideas into Reality,"Dreams are worthless - unless you make them happen. Serial entrepreneur and TikTok sensation Simon Squibb has inspired millions to turn ideas into reality. How do you go from ""What if?"" to ""I'm doing it!""? Simon shares his best hacks, biggest failures, and the one question that changes everything: What's your dream? Motivating, inspiring, and packed with practical tools for everyone ready to finally start. Your dream is waiting - let's make it happen!",SL063
keynote,Keynote,Why AI Fails - and How Companies Finally Make It Pay Off,"95% of AI projects fail. Why? Process mining pioneer and computer science legend Wil van der Aalst reveals why AI without process understanding is worthless - and how companies finally achieve ROI from their AI investments. From hype to real impact: how to set up AI projects correctly, overcome data silos, and turn failed pilots into scalable solutions. A masterclass in applied AI - scientifically grounded, practical, and brutally honest.",SL041
keynote,Keynote,Wie du mit Speaking den mächtigsten Skill unserer Zeit nutzt,"Wenn jeden Tag mehr Content entsteht, als wir je konsumieren können, gewinnen nicht die Lautesten - sondern die Klarsten. In diesem Talk lernst du, wie du in Zeiten von KI Relevanz erschaffst, Vertrauen aufbaust und auf jeder Business-Bühne so sprichst, dass Menschen wirklich zuhören - und handeln.

Das nimmst du mit:

- Wie du aus deiner Expertise eine klare Message formst, die in 1 Satz hängen bleibt 
- Ein simples Framework, um KI als Sparringspartner für Story, Struktur und Beispiele zu nutzen - ohne generisch zu klingen 
- Wie du deine Zielgruppe in Sekunden abholst: Kontext, Nutzen, Haltung (statt nur Fakten) 
- Präsenz-Tools für Bühne & Meeting: Stimme, Pausen, Blickführung, klare Call-to-Action 
- Wie du mit Verantwortung kommunizierst: ehrlich, präzise, community-stärkend

Du profitierst von praxiserprobten Methoden aus Business-Kommunikation und Leadership-Kontexten, die Wirkung messbar machen. Geh raus und gestalte Relevanz bewusst - Where ambition meets direction.",SL079
keynote,Keynote,Zeitenwende konkret - Was Deutschland jetzt für seine Sicherheit tun muss,"Zeitenwende ist mehr als ein Wort - aber was bedeutet sie konkret? Sicherheitsexperte Sven Weizenegger über die neue geopolitische Realität und was Deutschland jetzt tun muss. Verteidigung, Cyberwar, kritische Infrastruktur: Wie schützen wir uns in einer instabilen Welt? Welche Rolle spielen Technologie, Innovation und Startups für die Sicherheit von morgen? Ein klarer, ungeschönter Blick auf die Herausforderungen - und was jede*r Einzelne beitragen kann.",SL055
keynote,Keynote,Ökosystem der Möglichkeiten: So schaffen die Unternehmen der Schwarz Gruppe Innovationen für sich und die Branche,"Wie begegnet man als Unternehmen dem ständigen Wandel der Gegenwart? Die Unternehmen der Schwarz Gruppe haben sich von klassischen Handelsunternehmen zu einem integrierten Ökosystem aus Handel, Technologie, Produktion und Logistik entwickelt. Als „Customer Zero“ entwickeln sie zunächst Lösungen für sich selbst und schaffen aus den eigenen Erfahrungen Innovationen, die auch anderen zugutekommen. So entsteht ein Ökosystem der Möglichkeiten, das zeigt, wie die Unternehmen der Schwarz Gruppe digitale Souveränität, Innovationskraft und Verantwortung leben und durch Voraushandeln Zukunft gestalten.",SL122
masterclass,Masterclass,AI Automation in Action: Mit ChatGPT & Make echte Workflows bauen,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Früher hast du Aufgaben einfach abgearbeitet - heute kannst du dir Systeme bauen, die mitdenken. In dieser Masterclass zeigt dir Agency-Gründer Jens Bohse anhand echter Cases, wie du mit ChatGPT, Claude und Make in wenigen Minuten funktionierende Workflows aufsetzt und aus Ideen schnell umsetzbare Automationen machst.

Das nimmst du mit: 
- Wie du wiederkehrende Aufgaben im Studium oder Job in klare Workflows übersetzt - und automatisierst 
- Prompt- und Strukturprinzipien, mit denen du stabile Ergebnisse statt Zufall bekommst 
- „Vibe Coding“ praktisch: eigene kleine Tools bauen, testen und iterativ verbessern - ohne Perfektionismus 
- Konkrete Use Cases (Recherche, Content, Orga, Daten, Kommunikation), die dir sofort Zeit und Fokus zurückgeben 
- Ein Setup, das du direkt auf deine eigenen Projekte adaptierst

Jens bringt als Agenturgründer und in der Umsetzung mit ChefTreff genau die Praxis mit, die aus AI-Nutzung echte Verantwortung und Wirkung macht - damit du Zukunft aktiv gestaltest, statt nur drauf zu reagieren.",SL028
masterclass,Masterclass,AI Automation in Action: Mit ChatGPT & Make echte Workflows bauen,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du merkst es jeden Tag: Ideen sind schnell da - aber im Alltag fehlt oft die Zeit, sie sauber umzusetzen. In dieser Masterclass baust du mit Jens Bohse in kurzer Zeit funktionierende AI-Workflows, die dir Arbeit abnehmen und dir Raum für Wirkung geben.

Das nimmst du mit:

- Wie du ChatGPT, Claude und Make kombinierst, um wiederholbare Prozesse in Minuten statt Stunden aufzusetzen 
- Wie „Vibe Coding“ praktisch funktioniert: von der Idee über Prompts zu kleinen, nutzbaren Tools 
- 3-5 konkrete Use Cases für Studium und Job (z. B. Recherche, Content, Orga, Daten, Kundenanfragen) - inklusive Setup-Logik 
- Wie du Automatisierungen verantwortungsvoll baust: Qualität sichern, Fehlerquellen erkennen, Datenschutz mitdenken 
- Ein Framework, um eigene Workflows zu identifizieren, zu testen und iterativ zu verbessern

Jens bringt die Perspektive eines Agency-Gründers mit und zeigt gemeinsam mit ChefTreff echte Beispiele, die bereits im Alltag laufen. Du gehst raus mit dem Mut, nicht nur über Zukunft zu reden, sondern sie selbst zu bauen.",SL029
masterclass,Masterclass,AI Optimism - Imagining an Idealistic Future for the Age of AI,"Factory Berlin in collaboration with AI Builders
What ideas should founders work on? How will business and politics look like when everyone has AI agents working for them? What work will be left for humans to do? In this talk we will explore near-future and far-future scenarios, and practical tips to navigate the accelerating future.",SL164
masterclass,Masterclass,AI-Ready Mindset: Wie sich Jobprofile ändern - und du vorne mitspielst,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

KI ist längst kein Zukunftsthema mehr - sie verändert Entscheidungen, Teams und Karrierewege genau dort, wo du heute arbeitest. In dieser Masterclass wechselst du von „Was passiert da gerade?“ zu „Wie nutze ich das sinnvoll?“: mit Reality Checks, greifbaren Beispielen und einer Perspektive, die Lust auf verantwortungsvolle Gestaltung macht.

Das nimmst du mit:
- Ein klares Bild, was KI heute kann (und was nicht) - damit du sicherer entscheidest
- Konkrete Use Cases für deinen Arbeitsalltag und wie du sie auf Wirkung prüfst
- Die wichtigsten Future Skills im KI-Zeitalter (z. B. kritisches Denken, Prompting, Daten- und Ethikkompetenz) - und wie du sie gezielt aufbaust
- Leitplanken für verantwortungsvolle Nutzung: Qualität, Bias, Datenschutz, Transparenz
- Erste Schritte, um im Team eine KI-Lernkultur aufzubauen und Ownership zu übernehmen

Du gehst raus mit Klarheit, einem praktikablen Startplan und dem Mut, KI als Werkzeug für bessere Arbeit aktiv zu führen - statt sie nur zu beobachten.",SL009
masterclass,Masterclass,Communicate Like a Leader,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du führst kein Team mit deinem Titel - sondern mit jeder Nachricht, jedem Gespräch und jedem Feedback, das du gibst. In dieser Masterclass lernst du, wie Kommunikation zu deinem stärksten Leadership-Tool wird: klar, wertschätzend und wirksam - auch wenn es schwierig wird.

Das nimmst du mit: 
- Wie du mit einfachen Kommunikationsprinzipien Orientierung gibst, ohne zu micromanagen 
- Wie du Feedback so strukturierst, dass es motiviert, statt zu verunsichern - und Verhalten wirklich verändert 
- Wie du schwierige Gespräche souverän führst (Konflikte, Erwartungen, Leistung) und dabei Vertrauen stärkst 
- Wie du eine Feedbackkultur aufbaust, die Verantwortung und Wachstum im Team fördert 
- Wie du deine eigene Wirkung reflektierst und gezielt weiterentwickelst - als Future Skill

Alexandra Heinrichs bringt dafür über 20 Jahre Erfahrung aus globaler Team- und Talentführung bei Unilever mit - praxisnah, direkt anwendbar und menschenorientiert. Geh raus und gestalte Führung, die Klarheit schafft und andere mutig macht.",SL032
masterclass,Masterclass,Deep Dive: So meisterst du deine Jobsuche erfolgreich,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du scrollst durch Jobtitel, die sich ähnlich lesen - und trotzdem fühlt sich keine Entscheidung ganz richtig an. In diesem Talk bringst du Struktur in deine Suche und lernst, wie du Verantwortung für deinen nächsten Schritt übernimmst: klar, mutig und realistisch.

Das nimmst du mit: 
- Wie du aus Interessen, Stärken und Werten ein klares Job-Ziel ableitest (statt „irgendwas mit…“) 
- Wie du Stellenanzeigen richtig liest und Prioritäten setzt - passend zu deinem Leben und deiner Ambition 
- Wie du deinen CV und dein Profil schärfst, damit dein Mehrwert sichtbar wird 
- Wie du Interviews souverän führst: gute Story, starke Fragen, klare Gehalts- und Rahmenabsprachen 
- Wie du Netzwerken als Future Skill nutzt - ohne dich zu verstellen 

Christina Roth-Sauer bringt als langjährige Partnerin in der Personalberatung den Blick aus hunderten Besetzungen mit - und übersetzt ihn in konkrete, umsetzbare Schritte. Geh raus und gestalte deinen Einstieg: Where ambition meets direction.",SL021
masterclass,Masterclass,"Dein Job, echte Sicherheit: So gestaltest du Impact","Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Wenn Technik plötzlich mehr ist als Performance, sondern Schutz: Genau dann wird aus deinem Job ein echter Beitrag für eine sicherere Welt. In dieser Masterclass bekommst du einen klaren Einblick, wie Akkodis in Aerospace, Defense und IT-Sicherheit Lösungen entwickelt, die Verantwortung mit Innovation verbinden - und wo du dich mit deinen Skills wirksam einbringen kannst.

Das nimmst du mit:

- Wie reale Sicherheits- und Resilienz-Anforderungen Projekte in Aerospace, Defense und Cybersecurity prägen 
- Welche Future Skills (Systems Thinking, Risiko- & Entscheidungsfähigkeit, Security-by-Design) in der Praxis zählen 
- Wie aus komplexen Vorgaben umsetzbare Lösungen werden - von der Idee bis zur Umsetzung 
- Wo deine Rolle Wirkung entfaltet: in interdisziplinären Teams, mit klarer Verantwortung und hoher Qualität 

Du lernst direkt von Akkodis-Expert:innen, die an sicherheitskritischen Systemen arbeiten - und gehst raus mit mehr Klarheit, wie du Zukunft aktiv mitgestaltest.",SL019
masterclass,Masterclass,Democratizing Energy: The Rise of the Prosumer and the Business of Independence,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Das Energiesystem verschiebt sich gerade leise, aber radikal: weg von wenigen großen Erzeugern - hin zu Millionen Menschen, die Energie produzieren, speichern und smart steuern. In dieser Masterclass schaust du hinter die technologischen und ökonomischen Treiber dieser Entwicklung und verstehst, warum der „Prosumer“ zum neuen Normal wird.

Das nimmst du mit:

- Welche Technologien (PV, Speicher, EMS, dynamische Tarife) den Wandel wirklich skalierbar machen 
- Wie Business-Modelle wie Energy-as-a-Service Energie-Unabhängigkeit bezahlbar und zugänglich machen 
- Welche FinTech- und Software-Bausteine (Finanzierung, Abrechnung, Risiko, Plattformen) hohe Upfront-Kosten ersetzen 
- Wie du Chancen entlang der Wertschöpfung erkennst: von Produkt bis Plattform, von Haushalt bis Community 
- Welche Kriterien gute Go-to-Market-Strategien im dezentralen Energiemarkt erfüllen müssen 

Du gehst raus mit Klarheit, wo du Verantwortung übernehmen und konkret mitbauen kannst - where ambition meets direction.",SL033
masterclass,Masterclass,Deploy to AWS with Claude...what could possibly go wrong?!,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Go to production fast - what can go wrong? In this hands-on session we will use Claude Code as our co-driver to plan, build and deploy a real service to production in 45 minutes. We'll learn how modern DevOps can be supported by AI, as well as the risks that come with it. You will leave with practical prompts, a working AWS project, and the confidence to move faster without breaking things.",SL025
masterclass,Masterclass,"Der Algorithmus kennt deinen Kunden nicht, du schon: Vertriebsteam aufbauen ohne Performance-Marketing-Budget.","Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Während andere ihr Budget in Ads verbrennen, gewinnen die Besten bereits ihre nächsten Kunden. Lorna zeigt dir, was erfolgreiche Vertriebsteams von allen anderen unterscheidet. Ein System, das ohne Performance-Marketing planbar verkauft. Du gehst raus mit einem klaren Fahrplan, den du am nächsten Tag organisch direkt in deinem Business umsetzt.",SL013
masterclass,Masterclass,Emotions in Business: The Missing Chapter in your Management Degree,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Most management degrees teach you strategy, finance, and operations. Almost none teach you how emotions actually drive power, influence, and performance inside organizations. In this Masterclass, Prof. Dr. Prisca Brosi reveals what truly shapes leadership impact, hiring decisions, and career acceleration behind the scenes. Based on research published in top international journals, you’ll discover how emotional signals influence who gets trusted, promoted, or overlooked. And how to use this knowledge to your advantage. If you want a competitive edge beyond the textbook, this is where it starts.",SL020
masterclass,Masterclass,Empathie schlägt Algorithmus: Warum der Makler der Zukunft durch KI menschlicher wird.,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Gewerbeimmobilien sind kein Bauchgefühl-Geschäft - es geht um strategische Investments, komplexe Deals und Entscheidungen mit enormer Tragweite. Doch am Ende entscheidet nicht der beste Algorithmus, sondern das beste Gespräch. Engel & Völkers Commercial zeigt, warum gerade in einer Welt voller KI und Daten das Menschliche zum entscheidenden Wettbewerbsvorteil wird - und warum Empathie, Vertrauen und Verhandlungsgeschick jede Technologie schlagen. Ein Talk, der das klassische Makler-Image hinter sich lässt und zeigt, was diesen Beruf wirklich ausmacht.",SL037
masterclass,Masterclass,From idea to startup: Why product-market-fit is key!,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

This interactive masterclass explores the journey from an initial idea to a potential startup. Together with Sanna, founder of Veridu we will walk through key steps such as validating the idea with potential buyers, convincing first pilot customers, founding a company and entering the market. The session combines founder insights, practical frameworks, and interactive elements with the audience.",SL031
masterclass,Masterclass,From Scratch zum Geschäftsmodell: Venture Studio Skills für dein Startup,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du hast eine Idee - aber dir fehlen noch Team, Zugang zur Industrie oder ein klarer Weg von „Konzept“ zu „Company“? Genau hier setzt ein Venture Studio an: nicht als Investor von außen, sondern als aktiver Co-Founder, der Gründung systematisch möglich macht und Tempo in Richtung Wirkung bringt.

Das nimmst du mit:

- Was ein Venture Studio wirklich ist - und wie es sich von Accelerator, Inkubator und VC unterscheidet 
- Welche Bausteine (Team, Kapital, Produkt, Vertrieb, Operations) ein Studio in der Praxis mitbringt - und welche Verantwortung bei dir bleibt 
- Warum „Network > Skillset“ oft der schnellste Hebel ist: Zugang zu Kund:innen, Pilotprojekten, Talenten und Partnern - und wie du ihn gezielt aufbaust 
- Wie Venture-Studio-Kooperationen typischerweise strukturiert sind (Rollen, Equity, Entscheidungswege) - damit du sauber und fair verhandelst 
- Konkrete Learnings aus dem Venture-Studio-Alltag von Next Mobility Labs: wie Portfolio-Startups validieren, launchen und skalieren

Wenn du schneller Klarheit und Richtung willst: Nimm dir die Struktur - und gestalte die Zukunft mutig mit.",SL014
masterclass,Masterclass,Herzenssache - Resilienz: Stark bleiben in schweren Zeiten,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Manchmal wirkt alles stabil - bis ein Moment alles verschiebt. Angst und Selbstzweifel können laut werden, aber sie müssen nicht bestimmen, wie du weitergehst. In „Herzenssache“ geht es nicht um Durchhalten um jeden Preis, sondern um Resilienz als Future Skill: bewusst wahrnehmen, annehmen, neu ausrichten - und wieder handlungsfähig werden. Gefördert durch die Techniker Krankenkasse verbindet der Talk persönliche Erfahrung mit praxistauglichen Werkzeugen, die dich in herausfordernden Phasen unterstützen.

Das nimmst du mit: 
- Wie du mit Achtsamkeit innere Ruhe aufbaust, statt im Kopfkino festzuhängen 
- Wie Akzeptanz dir Energie zurückgibt - ohne aufzugeben oder schönzureden 
- Wie du Optimismus als Entscheidung trainierst (realistisch, nicht naiv) 
- Konkrete Schritte, um Selbstzweifel zu entkräften und Verantwortung für dein Next Step zu übernehmen 

Du gehst raus mit mehr Klarheit, mehr Selbstwirksamkeit - und dem Mut, deine Zukunft aktiv zu gestalten.",SL010
masterclass,Masterclass,High Performance beginnt im Kopf - meine Prinzipien und Erfahrungen für nachhaltige Leistungsfähigkeit,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Manche Momente fordern alles: hoher Druck, viele Erwartungen - und trotzdem gibt es Menschen, die klar bleiben, wachsen und ihr Potenzial abrufen. Nachhaltige Spitzenleistung entsteht nicht durch Glück, sondern durch Haltung: Wie du denkst, entscheidest und dich immer wieder ausrichtest.

Das nimmst du mit: 
- Wie du Motivation und Leidenschaft in eine tragfähige innere Ausrichtung übersetzt - auch wenn es anspruchsvoll wird 
- Praktische Routinen, um Durchhaltevermögen aufzubauen, ohne dich zu überfahren (Energie- statt Dauerstress-Logik) 
- Wie du unter Druck bessere Entscheidungen triffst und Verantwortung konsequent übernimmst 
- Tools, um Leistung und Lernen zu verbinden: reflektieren, nachjustieren, stärker zurückkommen 
- Wie du diese Prinzipien in Leadership übersetzt - für dich und dein Team

Der/die Speaker:in verbindet Führungserfahrung mit Prinzipien aus dem Hochleistungssport und macht daraus anwendbare Schritte für deinen Alltag. Geh raus mit dem Mut, deine Leistungsfähigkeit bewusst zu gestalten - und mit Direction, wenn Ambition groß ist.",SL036
masterclass,Masterclass,How to scale your business and impact - Insights from an impact investor.,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

We will discuss how your business idea and impact can scale hand in hand. We will discuss the following topics and questions: How can companies scale commercially while maximising real world impact? Business idea,GTM strategy, team, impact potential and more: What do impact investors look for when evaluating early stage companies?",SL034
masterclass,Masterclass,K4 kluge Köpfe klären Konflikte,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Konflikte kündigen sich selten laut an - oft sind es kleine Irritationen, die sich im Team, mit Kund:innen oder privat zu einem echten Störgefühl aufschaukeln. In dieser Masterclass lernst du, Konflikte nicht zu vermeiden, sondern sie als Chance für Klarheit, Beziehung und bessere Entscheidungen zu nutzen - und du erlebst live, wie sich das im Alltag anfühlt.

Das nimmst du mit: 
- Wie du eine konstruktive Konflikthaltung entwickelst, ohne dich zu verbiegen 
- Praktische Gesprächs-Tools für schwierige Situationen (klar, respektvoll, wirksam) 
- Simulationen echter Berufsalltagsfälle: beobachten, üben, direkt anwenden 
- Die „Ökonomie von Streitkulturen“: wie gute Konflikte Zeit, Energie und Reputation sparen 
- Wie du Verantwortung übernimmst - auch wenn Emotionen im Raum sind

Du gehst raus mit mehr Mut, Konflikte aktiv zu gestalten - und damit Leadership zu zeigen, bevor du den Titel brauchst.",SL024
masterclass,Masterclass,Level Up Your Career: Verändere Unternehmen von innen,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du willst nicht einfach „mitlaufen“, sondern Zukunft im Unternehmen mitgestalten - mit Sinn, Wirkung und einem klaren inneren Kompass. In dieser Masterclass zeigst du, wie Intrapreneurship funktioniert, ohne dass du dafür einen neuen Titel brauchst: Du lernst, Chancen zu erkennen, Verantwortung zu übernehmen und aus Ideen echte Umsetzung zu machen.

Das nimmst du mit: 
- Wie erfolgreiche Intrapreneure denken und handeln - und wie du dieses Mindset im Alltag anwendest 
- Wie du deine persönliche Impact Area findest und daraus Fokus, Motivation und Richtung für deine Karriere ableitest 
- Wie du deine Stärken so einsetzt, dass daraus messbarer Mehrwert für Team, Kund:innen und Business entsteht 
- Wie du Ideen im Unternehmen platzierst, Mitstreiter:innen gewinnst und ins Machen kommst - auch ohne formale Macht 

Am Ende gehst du raus mit Klarheit, Mut und einem Plan, wie du Wirkung dort erzeugst, wo du heute schon bist.",SL017
masterclass,Masterclass,"Next Gen Public Leadership: Verantwortung übernehmen, Demokratie stärken","Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du gestaltest in der Verwaltung nicht nur Prozesse - du gestaltest Alltag, Chancen und Vertrauen. Gerade hier wird sichtbar, wie Leadership und Sinnhaftigkeit zusammengehören: durch Entscheidungen, die Menschen wirklich erreichen.

Das nimmst du mit: 
- Wie Verantwortung in der Verwaltung konkret gelebt wird - jenseits von Titeln, nah an Wirkung 
- Wie du als Führungskraft Orientierung gibst: klar kommunizieren, Prioritäten setzen, Entscheidungen tragfähig machen 
- Wie du Wirkung (Impact) mess- und erzählbar machst, ohne dich in Kennzahlen zu verlieren 
- Wie du Vertrauen in staatliches Handeln stärkst: transparent, serviceorientiert, demokratiebewusst 
- Wie du Teams in Veränderung führst und eine Kultur von Ownership und Community aufbaust

Du gehst raus mit dem Mut, Verwaltung als Gestaltungsraum zu nutzen - für Hamburg und eine lebenswerte Zukunft.",SL018
masterclass,Masterclass,Powering the Next Mobility Era,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Gestern war die Tankstelle ein klarer Ort: reinfahren, tanken, weiter. Heute wird sie zum Knotenpunkt für Energie, Convenience und neue Erwartungen - und du entscheidest mit, wie dieser Ort in Zukunft funktioniert.

Das nimmst du mit: 
- Wie du die Mobilitätswende als Leadership-Aufgabe steuerst - mit klaren Prioritäten statt Aktionismus 
- Welche Future Skills du brauchst, um Unsicherheit in Richtung zu übersetzen (Entscheidungsstärke, Stakeholder-Management, Kundenfokus) 
- Wie du Standortstrategie neu denkst: Ladebedarfe, Aufenthaltszeiten, Flächenlogik und lokale Partnerschaften 
- Wie aus „Tanken“ ein Kundenerlebnis wird: Services, Prozesse und Teams, die auf E-Mobilität einzahlen 
- Ansätze für tragfähige Geschäftsmodelle zwischen Energieverkauf, Retail und Plattformen

Du gehst raus mit konkreten Hebeln, um Verantwortung zu übernehmen und die Transformation vor Ort mutig zu gestalten.",SL022
masterclass,Masterclass,PR for Disruptors: Wie komme ich als Start-up ins Handelsblatt?,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

PR fühlt sich für viele Start-ups nach „später“ an - bis Funding-Runden, Hiring oder Sales zeigen, wie stark Sichtbarkeit Richtung geben kann. In dieser Masterclass bekommst du einen klaren, praxisnahen Blick darauf, wie Start-up-PR wirklich funktioniert: wann du starten solltest, wie Medien entscheiden und wie du aus deinem Produkt eine Story machst, die Relevanz hat.

Das nimmst du mit: 
- Wie du den richtigen PR-Zeitpunkt erkennst und Ziele (Funding, Talente, Sales) sauber übersetzt 
- Wie du eine tragfähige Story-Struktur baust - inkl. konkreter Praxisbeispiele 
- Wie du Medien professionell ansprichst: Pitch-Logik, Timing, Follow-ups ohne zu nerven 
- Die häufigsten PR-Fehler von Start-ups - und wie du sie vermeidest 
- Wie du mit kleinem Budget und ohne großes Team echte Aufmerksamkeit erzeugst

Natalia Fritz (Cléo PR) hat über 100 Start-ups strategisch begleitet und teilt ehrliche Use Cases statt Theorie. Geh raus mit Klarheit - und dem Mut, deine Geschichte selbst in die Hand zu nehmen.",SL026
masterclass,Masterclass,Purpose trifft Karriere: Warum Sparkasse mehr ist als Bankjob,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du willst Karriere machen, aber nicht um jeden Preis - sondern mit Sinn, Stabilität und Raum zum Wachsen. In dieser Masterclass siehst du, wie du deine individuellen Ziele klarer machst und sie in einem Umfeld umsetzt, das Verantwortung fördert und Entwicklung möglich macht - bei der Sparkasse Holstein auf dem Weg zur Großsparkasse.

Das nimmst du mit: 
- Wie du deine Karriereziele schärfst und in konkrete nächste Schritte übersetzt (Richtung statt nur Ambition) 
- Welche Karrierewege und Geschäftsfelder dir als Vollsortimenter offenstehen - und wie du den passenden Track wählst 
- Wie du Future Skills wie Verantwortung, Kundenorientierung und Lernagilität im Job sichtbar aufbaust 
- Wie Trainees und Berufseinsteiger:innen gezielt gefördert werden und du früh wirksam werden kannst 
- Wie du beruflichen Erfolg mit gesellschaftlichem Impact in der Region verbindest 

Du bekommst Einblicke direkt aus einer Organisation, die für Verlässlichkeit steht und gleichzeitig aktiv Zukunft gestaltet. Geh raus mit Klarheit - und dem Mut, deinen Weg bewusst zu wählen.",SL016
masterclass,Masterclass,"So baust du dir eine starke, authentische Personal Brand auf","Bitte hier bewerben: https://tinyurl.com/53f8nx2h

Du hast etwas zu sagen - aber oft bleibt es im Kopf, weil LinkedIn laut ist und „Selbstvermarktung“ sich falsch anfühlt. In dieser Masterclass baust du eine Personal Brand auf, die sich nach dir anfühlt: klar positioniert, glaubwürdig und mit Richtung.

Das nimmst du mit: 
- Wie du deine Positionierung in 1-2 Sätzen schärfst, ohne dich in Rollenbilder zu pressen 
- Wie du deine Story strategisch erzählst (Expertise + Haltung + Learnings), ohne oversharing 
- Wie du Content entwickelst, der Nutzen stiftet: Themen, Formate und ein einfacher Redaktionsrhythmus 
- Wie du LinkedIn gezielt nutzt: Profil als „Landingpage“, Sichtbarkeit durch Interaktion, Community statt Reichweitenjagd 
- Wie du Konsistenz aufbaust - mit einem System, das auch in vollen Wochen funktioniert 

Du bekommst einen klaren Prozess und umsetzbare Templates aus der Praxis, damit deine Ambition Richtung bekommt. Geh raus, zeig Verantwortung für deine Stimme - und gestalte deine Zukunft sichtbar.",SL023
masterclass,Masterclass,The 1-Person Company: Scaling Without Hiring - A behind the scenes look at Digitale Optimisten,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

For decades, scaling a company meant hiring people. More freelancers. More agencies. More employees. More overhead. That model is breaking. Today, the fundamental unit of scale is no longer a human team. It’s systems, workflows, and AI agents. In this masterclass, Alexander Mrozek (Founder of Digitale Optimisten) breaks down how he built a media business structured not as a team - but as three connected machines: • A Content Machine that constantly discovers and generates valuable ideas • An Attention Machine that turns ideas into distribution across platforms • A Monetization Machine that converts trust into revenue This session is about architecture, leverage, and the new role of founders as system designers. If you want to build something in the next 5 years, this changes how you think.",SL011
masterclass,Masterclass,The AI-First Organization: Leading the biggest workplace transformation since the internet,"Bitte hier bewerben: https://tinyurl.com/53f8nx2h

While companies invest $1.7 trillion in AI, 95% of initiatives fail to deliver value. Learn during our Masterclass how leading companies reshape their organization to face the workplace revolution and what it needs for future workforce in terms of skills and capabilities. Explore real-world examples and discover how to lead the workplace transformation defining the next decade.",SL027
